Timestamp,Terminal,MemberId,Action,Result,Message
2026-06-04T16:58:41.076,ACCESS,,SYNC_TERMINALS,SUCCESS,Terminal cache synced at 2026-06-04T16:58:41.076 | Active cards: 3 | Blocked cards: 2 | Block version: 2
2026-06-04T16:58:42.91,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [00003039]
2026-06-04T16:58:43.802,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [00003039]
2026-06-04T16:58:44.17,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [00003039]
2026-06-04T16:58:44.497,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [00003039]
2026-06-04T16:58:45.035,ACCESS,00003039,CHECK_IN_T2,DENIED,ACCESS DENIED: Tier 2 step 2 failed with SW=6F00 [00003039]
2026-06-04T16:58:45.946,ACCESS,00003039,CHECK_IN_T2,DENIED,ACCESS DENIED: Tier 2 step 2 failed with SW=6F00 [00003039]
2026-06-04T16:58:47.897,ACCESS,00003039,CHECK_IN_T2,DENIED,ACCESS DENIED: Tier 2 step 2 failed with SW=6F00 [00003039]
2026-06-04T17:01:37.16,ACCESS,00003039,CHECK_IN_T2,DENIED,ACCESS DENIED: Tier 2 step 2 failed with SW=6F00 [00003039]
2026-06-04T17:01:40.712,ADMIN,00003039,READ_STATUS,SUCCESS,Card 00003039 | BackendStatus=ACTIVE | Expiry=20261231 | Package=STANDARD | Blocked=false | Gateway=HARDWARE | CardSession=true | AppletActive=true | AccessCache=SYNCED
2026-06-04T17:30:54.054,AUTH,,LOGIN_ACCESS,SUCCESS,Access login successful
2026-06-04T17:30:56.591,ACCESS,,SYNC_TERMINALS,SUCCESS,Terminal cache synced at 2026-06-04T17:30:56.591 | Active cards: 3 | Blocked cards: 2 | Block version: 2
